1,0.0065863,-0.36344,9.7423,-0.0074675,0.020248,-0.0042046,51.045,-2.0078,0.12985,45.91
1.1,0.011975,-0.36779,9.7455,-0.0085258,0.022378,-0.0031258,51.051,-2.0124,0.13087,0
1.2,0.017514,-0.37093,9.7596,-0.0085242,0.018119,-0.0020608,51.059,-2.0134,0.13856,0
1.3,0.012724,-0.36749,9.739,-0.0095847,0.018121,-0.00098404,51.067,-2.0116,0.13174,0
1.4,-0.00074844,-0.37153,9.7464,-0.0095895,0.019186,-0.0020522,51.074,-2.0115,0.12599,0
1.5,0.0092807,-0.37183,9.7793,-0.0074521,0.018116,-0.00099895,51.079,-2.0151,0.12244,0
1.6,0.001946,-0.36898,9.7212,-0.0074579,0.018117,-0.0020682,51.089,-2.0167,0.10217,0
1.7,0.0065863,-0.35985,9.7552,-0.007451,0.01918,-0.00099789,51.094,-2.015,0.10548,0
1.8,-0.0034428,-0.35536,9.7521,-0.007459,0.017052,-0.0020693,51.101,-2.0151,0.10088,0
1.9,-0.0020956,-0.36225,9.7434,-0.0085328,0.021315,-0.0041961,51.113,-2.0179,0.095186,0
2,0.0092807,-0.38171,9.7596,-0.0063953,0.020244,-0.0031428,51.13,-2.0227,0.10533,0
2.1,0.0079335,-0.36704,9.7528,-0.0085184,0.018118,-0.00099149,51.132,-2.0229,0.099653,0
2.2,0.0085323,-0.37213,9.7361,-0.0085232,0.019184,-0.0020597,51.137,-2.0191,0.091799,0
2.3,0.0010478,-0.37976,9.7569,-0.0085312,0.017056,-0.0031311,51.146,-2.0172,0.090842,0
2.4,-0.035776,-0.36943,9.7157,-0.0084965,0.022373,0.0022205,51.148,-2.0199,0.083268,0
2.5,0.035177,-0.2904,9.7768,-0.0053173,0.020239,-0.0010117,51.136,-2.0305,0.099666,0
2.6,0.077688,-0.30896,9.8354,-0.0096412,0.0085493,-0.0095477,51.154,-2.0355,0.095045,0
2.7,-0.17424,-0.43095,9.7051,-0.011651,0.025567,0.0097309,51.156,-2.0317,0.059686,0
2.8,-0.021106,0.60384,9.4467,-0.0054707,0.066047,-0.037321,51.039,-2.023,0.11164,0
2.9,0.9369,-1.2164,9.7361,-0.0065258,0.15335,-0.051126,51.578,-2.0132,0.74581,0
3,1.08,-0.72345,9.5162,-0.0086105,0.10757,-0.034049,51.865,-1.9718,1.2884,0
3.1,1.4113,-0.12349,10.18,-0.00031692,0.16934,-0.088579,52.131,-1.9464,2.0422,0
3.2,1.2936,-0.55564,9.7507,0.022915,0.024527,-0.10386,52.732,-2.0346,2.4618,0
3.3,1.0694,-0.45865,9.9305,0.014564,-0.12986,-0.043005,53.083,-2.2178,2.224,0
3.4,0.49292,-0.91609,9.7184,0.014049,-0.076724,0.047943,53.106,-2.3486,1.5772,0
3.5,0.92223,-1.1309,9.2877,-0.029285,-0.049004,0.1135,52.656,-2.3565,1.0246,0
3.6,-0.076641,-0.17978,9.8615,-0.039022,-0.054278,0.08897,52.043,-2.1684,0.59776,0
3.7,-0.89768,-0.85667,10.08,-0.023758,-0.0054017,0.14131,51.473,-2.0204,0.31276,0
3.8,1.8584,-1.3277,8.1161,0.012376,0.25324,0.071812,51.106,-1.952,0.46585,0
3.9,1.143,0.30731,10.574,0.025681,0.00098457,0.015861,50.793,-2.0322,1.3989,0
4,0.71925,-0.20672,9.6263,0.02029,0.0063319,0.0041417,50.703,-2.2095,1.19,0
4.1,0.051044,-0.90876,9.9034,-0.011419,-0.10543,0.075894,50.499,-2.316,0.86929,0
4.2,0.38844,0.15044,10.158,-0.014565,-0.01174,0.068525,49.961,-2.3412,0.54788,0
