1.6,-3.7431,-9.062,-0.19534,-0.0010464,-0.020144,-0.007545,60.56,67.517,92.874,46.55,0,0
1.7,-3.7458,-9.0598,-0.1666,-0.00109,-0.020152,-0.0032871,60.553,67.52,92.878,0,0,0
1.8,-3.7505,-9.0789,-0.18816,-0.0010543,-0.019085,-0.006476,60.561,67.515,92.866,0,0,0
1.9,-3.7433,-9.0693,-0.18816,-0.0010653,-0.019087,-0.0054115,60.56,67.521,92.867,0,0,0
2,-3.7696,-9.055,-0.18831,-6.13E-06,-0.018029,-0.0043348,60.559,67.526,92.874,0,0,0
2.1,-3.7575,-9.0644,-0.20028,-0.0010354,-0.020141,-0.0086095,60.548,67.532,92.882,0,0,0
2.2,-3.7267,-9.0574,-0.17603,-3.09E-05,-0.019094,-0.0022104,60.545,67.553,92.882,0,0,0
2.3,-3.7626,-9.0478,-0.16675,-0.001098,-0.019093,-0.0022181,60.553,67.548,92.874,0,0,0
2.4,-3.7671,-9.0548,-0.20028,1.49E-05,-0.022266,-0.0075463,60.546,67.53,92.874,0,0,0
2.5,-3.6961,-9.1102,-0.10882,-0.00095181,-0.025427,-0.018212,60.531,67.556,92.855,0,0,0
2.6,-3.7341,-9.0789,-0.13547,0.0040805,-0.012764,0.014879,60.516,67.661,92.866,0,0,0
2.7,-3.8894,-8.9855,-0.1678,-0.00012996,-0.023355,0.0062872,60.554,67.513,92.842,0,0,0
2.8,-3.0421,-9.2665,0.059576,-0.0067117,-0.017876,-0.078901,60.575,67.525,92.708,0,0,0
2.9,-3.6298,-9.1547,-0.54382,0.023426,0.066368,0.23146,60.86,67.2,93.047,0,0,0
3,-3.5042,-9.2651,-0.43275,0.010219,0.0088241,0.35887,61.317,65.557,92.863,0,0,0
3.1,-3.7644,-9.1774,0.0076341,0.0037196,0.04827,0.79545,61.795,62.614,92.552,0,0,0
3.2,-5.0165,-8.4697,-0.38814,-0.0095597,0.05625,1.0519,62.236,57.221,92.637,0,0,0
3.3,-6.1301,-7.8861,-0.010029,-0.041068,-0.027827,1.1876,62.545,50.746,92.53,0,0,0
3.4,-7.2595,-6.5344,-0.3847,-0.087232,-0.075787,1.3053,62.531,43.638,92.42,0,0,0
3.5,-8.1077,-6.4953,-0.54577,-0.075009,-0.086302,1.2553,62.029,36.336,92.231,0,0,0
3.6,-8.7957,-4.3389,-0.16391,-0.1267,-0.10567,1.3996,61.52,28.542,91.789,0,0,0
3.7,-9.3473,-1.791,-0.24205,-0.14046,-0.12345,1.2791,60.963,20.78,91.548,0,0,0
3.8,-9.465,-4.5974,-1.0607,0.014433,0.016476,1.3032,60.644,14.097,91.495,0,0,0
