Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
1.2076,1.224,0
1.2393,1.4376,0
1.3737,1.7362,0
1.6653,2.0366,0
2.1004,2.3747,0
2.4964,2.6356,0
2.6509,2.7494,0
2.5949,2.8443,0
2.8128,2.915,0
2.9474,2.8805,0
2.7986,2.7335,0
2.5015,2.5253,0
2.4311,2.3383,0
2.4356,2.3493,0
2.623,2.3855,0
2.7693,2.5621,0
3.232,3.0622,0
3.7027,3.6489,0
3.7516,3.75,0
3.7085,3.8089,0
3.8463,3.9585,0
3.8995,4.0265,0
3.6733,3.8903,0
3.3333,3.6553,0
3.4499,3.6201,0
3.5072,3.4301,0
3.831,3.6804,0
3.9852,3.8265,0
4.1451,3.7985,0
4.1789,3.9078,0
4.0347,4.0375,0
3.7287,3.9341,0
3.5258,3.822,0
3.6756,3.7516,0
3.8171,3.5725,0
4.177,3.6054,0
4.185,3.9439,0
4.2091,4.0743,0
4.2504,4.1823,0
4.1977,4.3546,0
4.0826,4.325,0
3.9529,4.2163,0
3.8182,4.0428,0
3.7548,3.9421,0
3.709,3.8483,0
3.7344,3.7661,0
3.8076,3.7074,0
3.593,3.6811,0
3.4595,3.5979,0
3.1666,3.487,-1
2.8972,3.4414,-1
2.6075,3.474,-1
2.3328,3.5263,-1
2.1694,3.3713,-1
1.9785,3.4907,-1
1.8266,3.5669,-1
1.6853,3.3558,-1
1.5014,2.9847,-1
1.2309,2.9233,-1
1.1401,2.9892,-1
1.2874,3.0538,-1
1.4841,3.2323,-1
1.6927,3.1932,-1
1.7664,3.2942,-1
1.87,3.2675,-1
1.7952,3.0248,-1
1.996,2.7342,-1
2.0802,2.6302,-1
2.3228,2.6255,-1
2.6999,2.7253,0
3.0981,3.0063,0
3.1462,3.2244,0
3.1619,3.2178,0
3.2586,3.2477,0
3.219,3.2877,0
3.0226,3.2411,0
2.8678,3.1874,0
2.7815,3.1057,0
2.7279,2.9151,0
2.6061,2.8319,0
2.5262,2.7041,0
2.4316,2.5721,0
2.3335,2.4377,0
2.1918,2.3292,0
2.0425,2.1607,0
1.8515,1.9839,0
1.6597,1.8189,0
1.4611,1.6379,0
1.3002,1.449,0
1.1296,1.2634,0
0.9653,1.0912,0
0.75732,0.90499,0
0.55685,0.73155,0
0.41613,0.53711,0
0.23375,0.34895,0
0.10366,0.20658,0
0.085544,0.11608,0
0.050361,0.089435,0
0.052511,0.057463,0
0.11535,0.048983,0
0.10462,0.065056,0
-0.1555,-0.032937,0
-0.40068,-0.17547,0
