Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
0.36496,0.37297,0
0.51834,0.60101,0
0.73268,0.8611,0
1.0015,1.1242,0
1.2991,1.4501,0
1.6683,1.7704,0
2.0534,2.0317,0
2.4945,2.3604,0
2.9829,2.8941,0
3.3653,3.1365,0
3.445,3.3268,0
3.5745,3.4478,0
3.7664,3.5376,0
3.7898,3.456,0
3.6498,3.3001,0
3.4394,3.1988,0
3.2562,3.2404,0
3.2608,3.338,0
3.6376,3.8408,0
4.2746,4.3989,0
4.5833,4.5469,0
4.6359,4.6189,0
4.9297,4.7109,0
5.0484,4.7829,0
4.9371,4.6085,0
4.7575,4.5109,0
4.5464,4.4599,0
4.3018,4.534,0
4.671,4.8416,0
4.7661,4.7796,0
4.6849,4.921,0
4.8985,4.9667,0
4.9983,5.0358,0
4.934,4.9624,0
4.7336,4.6836,0
4.5765,4.4277,0
4.2915,4.3232,0
3.9762,4.211,0
4.1022,4.3665,0
4.6014,4.7867,0
4.8377,5.0512,0
5.2694,5.1294,0
5.522,5.2431,0
5.347,5.306,0
5.1958,5.3077,0
4.9538,5.145,0
4.7164,4.9991,0
4.5838,4.6997,0
4.5306,4.6118,0
4.956,4.5998,0
5.2159,4.8933,0
5.2921,5.172,0
5.495,5.1601,0
5.5491,5.1495,0
5.3646,5.2714,0
5.1986,5.1981,0
5.2287,5.1751,0
5.1975,5.141,0
5.0281,5.1307,0
4.8341,4.908,0
4.7343,4.825,0
4.7318,4.6825,0
4.7751,4.6275,0
4.7211,4.6286,0
4.6897,4.5955,0
4.685,4.5047,0
4.5989,4.5133,0
4.5568,4.4605,0
4.4707,4.4264,0
4.3591,4.4095,0
4.3749,4.3866,0
4.2845,4.3692,0
4.2245,4.2246,0
4.1299,4.2017,0
3.9762,4.1032,0
3.7743,3.8857,0
3.5177,3.6479,0
3.0663,3.2896,0
2.668,2.8946,0
2.239,2.5417,0
1.7593,2.2165,0
1.2095,1.8066,0
0.76686,1.3388,0
0.43483,0.92252,0
0.22012,0.53853,0
0.099371,0.2693,0
0.053463,0.09896,0
0.05559,0.051165,0
0.086622,0.044618,0
0.074927,0.070283,0
0.05578,0.082066,0
0.08025,0.074491,0
