Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
0.17942,0.062715,0
0.28822,0.16161,0
0.40973,0.2832,0
0.6006,0.45262,0
0.77225,0.64427,0
0.916,0.85111,0
1.106,1.0451,0
1.3309,1.2359,0
1.5978,1.4177,0
1.8249,1.6527,0
2.1353,1.8869,0
2.5368,2.229,0
2.8955,2.7284,0
2.9999,2.8173,0
3.1065,3.0476,0
3.1864,3.1951,0
3.1363,3.214,0
2.8751,3.1269,0
2.8715,2.9147,0
2.8823,2.84,0
3.0579,2.949,0
3.3646,3.1984,0
3.6741,3.3996,0
3.7636,3.691,0
3.8855,3.7822,0
3.961,3.974,0
3.8954,4.1106,0
3.8039,4.0207,0
3.4516,3.8119,0
3.5559,3.6541,0
3.6265,3.449,0
3.9186,3.5727,0
4.2173,3.7362,0
4.4139,4.1397,0
4.2809,4.1787,0
4.4295,4.3121,0
4.3059,4.42,0
4.1544,4.6148,0
3.9629,4.2071,0
4.0721,4.0497,0
4.1726,3.8608,0
4.3771,3.7241,0
4.4174,4.0219,0
4.5509,4.0325,0
4.4429,4.2534,0
4.4793,4.3283,0
4.3525,4.5164,0
4.1744,4.296,0
4.0241,4.1162,0
3.8489,3.9901,0
3.7992,3.8548,0
3.7862,3.7775,0
3.8509,3.7957,0
3.7793,3.7263,0
3.6688,3.6639,0
3.5955,3.5825,-1
3.2665,3.5696,-1
3.0281,3.5962,-1
2.6278,3.694,-1
2.3373,3.6141,-1
1.9755,3.5505,-1
1.8076,3.5523,-1
1.7102,3.4254,-1
1.5135,3.2382,-1
1.2565,3.0048,-1
1.052,2.9269,-1
1.1496,2.8776,-1
1.3588,2.9039,-1
1.5835,2.9901,-1
1.6173,3.0324,-1
1.5493,3.2102,-1
1.6456,2.809,-1
1.8414,2.6912,-1
1.9825,2.6398,-1
2.2499,2.7091,0
2.6854,2.9088,0
3.2404,3.2367,0
3.3538,3.6024,0
3.4111,3.6842,0
3.4478,3.6411,0
3.5095,3.6541,0
3.4582,3.5819,0
3.4302,3.4318,0
3.2936,3.3036,0
3.1464,3.2034,0
2.9946,3.0672,0
2.8549,3.0376,0
2.7177,2.9703,0
2.6081,2.8576,0
2.4987,2.7612,0
2.4218,2.6989,0
2.3122,2.5522,0
2.1724,2.4857,0
2.0382,2.3179,0
1.8601,2.1652,0
1.6138,2.014,0
1.3323,1.7947,0
1.0442,1.49,0
0.84387,1.2045,0
0.62401,0.9702,0
0.42038,0.76031,0
0.28384,0.54326,0
0.22629,0.35461,0
0.21032,0.25884,0
0.20926,0.22692,0
0.1613,0.2462,0
0.085649,0.20895,0
-0.008308,0.11837,0
-0.1299,0.014757,0
-0.17681,-0.051939,0
-0.32291,-0.1234,0
-0.57034,-0.23748,0
-0.88928,-0.45372,0
-1.2091,-0.71135,0
-1.5686,-1.017,0
-1.9143,-1.3161,0
-2.0402,-1.7027,0
-2.0128,-1.8855,0
-2.0699,-2.0465,0
