Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
-0.046593,-0.092543,0
0.017398,0.029934,0
0.21464,0.23763,0
0.45237,0.52946,0
0.72301,0.88307,0
1.0053,1.2251,0
1.2772,1.5906,0
1.5767,1.8804,0
1.9691,2.0975,0
2.4973,2.5018,0
3.0759,3.0532,0
3.2507,3.1508,0
3.3746,3.3641,0
3.6605,3.5172,0
3.7773,3.5448,0
3.6646,3.4141,0
3.4946,3.2797,0
3.3452,3.3169,0
3.1817,3.5409,0
3.4186,3.6162,0
4.0264,4.2257,0
4.2885,4.3654,0
4.3291,4.7315,0
4.5525,4.7898,0
4.7603,4.7578,0
4.5202,4.486,0
4.4558,4.1999,0
4.3794,4.1253,0
4.2884,4.1787,0
4.5399,4.5202,0
4.7849,4.4761,0
4.9718,4.6374,0
4.9383,4.6547,0
5.1117,4.7183,0
5.0407,4.6075,0
4.9694,4.4205,0
4.7382,4.3333,0
4.5376,4.4579,0
4.5329,4.5511,0
4.5533,4.5699,0
4.566,4.6706,0
4.6152,4.5878,0
4.5694,4.5408,0
4.439,4.415,0
4.3618,4.2159,0
4.3138,4.1791,0
4.274,3.8491,1
4.24,3.6641,1
4.0881,3.3144,1
4.0893,3.0173,1
3.875,2.6206,1
3.7329,2.1589,1
3.6493,1.8687,1
3.4373,1.6417,1
3.515,1.3894,1
3.395,1.4494,1
3.398,1.5643,1
3.2109,1.5494,1
2.9494,1.4985,1
2.6439,1.4019,1
2.5238,1.4537,1
2.443,1.4964,1
2.5516,1.689,1
2.7573,1.984,1
3.0776,2.3738,1
3.4406,2.8329,1
3.5643,2.9053,1
3.5176,2.8974,1
3.5454,2.8873,1
3.4388,2.9121,0
3.1541,2.8176,0
2.9946,2.64,0
2.7764,2.558,0
2.5332,2.4051,0
2.3458,2.2102,0
2.148,2.0588,0
1.9201,1.9192,0
1.7352,1.7712,0
1.6136,1.6564,0
1.4982,1.5298,0
1.3821,1.4245,0
1.2543,1.2704,0
1.134,1.1321,0
0.94327,0.89229,0
0.62636,0.61936,0
0.37673,0.3767,0
0.32033,0.29595,0
0.33104,0.28025,0
0.31096,0.22064,0
0.27229,0.23211,0
