Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
0.0076577,-0.01482,0
0.0034509,0.014983,0
0.00030467,0.094994,0
0.027915,0.17458,0
0.090828,0.30996,0
0.21659,0.50715,0
0.36581,0.67083,0
0.76264,0.91092,0
0.949,1.0776,0
1.1947,1.3163,0
1.413,1.5996,0
1.7256,1.9017,0
2.0828,2.3353,0
2.5306,2.7651,0
2.9095,2.8738,0
3.0053,2.9919,0
3.032,3.0174,0
3.1234,2.9889,0
3.0348,2.9039,0
2.9112,2.7314,0
2.7825,2.706,0
2.8213,2.7524,0
2.8476,2.9098,0
3.1372,3.4129,0
3.6019,3.7548,0
3.8298,3.9719,0
4.0232,4.0241,0
4.1367,4.131,0
4.2853,4.0675,0
4.2927,3.845,0
4.1165,3.7868,0
3.8941,3.8804,0
3.7289,4.1357,0
4.04,4.5276,0
4.4035,4.6951,0
4.6542,4.8556,0
4.7911,4.7036,0
4.9741,4.5103,0
4.9605,4.2959,0
4.4694,4.1403,0
4.3381,4.0263,0
4.0185,4.151,0
3.8494,4.4274,0
4.4101,4.5062,0
4.4872,4.9407,0
4.5877,4.833,0
4.7982,4.7876,0
4.7396,4.5985,0
4.559,4.4605,0
4.3961,4.3018,0
4.2381,4.1384,0
4.2911,4.2178,0
4.3897,4.5574,0
4.9124,4.7748,0
5.0621,5.0144,0
5.0268,5.041,0
5.1198,5.0214,0
5.0656,4.9917,0
4.9561,4.7539,0
4.7715,4.5725,0
4.4654,4.4127,0
4.5017,4.4092,0
4.5264,4.6217,0
4.7714,4.7131,0
4.9086,4.6144,0
4.7564,4.6469,0
4.7763,4.7072,0
4.6888,4.6858,0
4.6468,4.5677,0
4.5984,4.4613,0
4.4885,4.3486,0
4.3886,4.1902,0
4.2804,4.1828,0
4.3636,4.2127,0
4.3052,4.2738,0
4.2543,4.2804,0
4.2792,4.1998,0
4.2532,4.2165,0
4.1744,4.156,0
4.238,4.136,0
4.1308,4.2019,0
4.1235,4.1853,0
4.1026,4.1096,0
3.9793,4.0795,0
3.9165,3.9977,0
3.8885,3.9412,0
3.8828,3.8525,0
3.8269,3.7454,0
3.7829,3.4305,0
3.615,3.1407,0
2.9919,2.898,0
2.5454,2.428,0
1.9107,1.8694,0
1.3265,1.3214,0
0.82695,0.90947,0
0.44152,0.53246,0
0.19328,0.26298,0
0.086619,0.10649,0
0.067413,0.081008,0
0.083405,0.080908,0
0.1078,0.07998,0
0.10033,0.087402,0
0.076922,0.073562,0
0.03772,0.066008,0
0.059969,0.064957,0
