Angular Velocity Z(Left Wheel),Angular Velocity Z(Right Wheel),Intention
-0.022091,-0.024498,0
0.0046198,0.045848,0
0.056797,0.1812,0
0.16646,0.45947,0
0.39447,0.78126,0
0.62349,1.0613,0
0.87287,1.3618,0
1.2189,1.6552,0
1.5679,2.0283,0
1.8738,2.5207,0
2.2856,3.1452,0
2.8556,3.1877,0
3.0578,3.2876,0
3.1046,3.4311,0
3.3453,3.3957,0
3.4142,3.2606,0
3.4137,3.0459,0
3.3498,3.2106,0
3.3329,3.1186,0
3.1643,3.405,0
3.3554,3.8848,0
3.8722,4.1774,0
4.0763,4.4682,0
4.2988,4.4807,0
4.4366,4.7265,0
4.6103,4.4395,0
4.5851,4.2103,0
4.3878,3.9871,0
4.2447,3.9628,0
4.1521,4.0203,0
4.1584,4.1742,0
4.4492,4.4115,0
4.8922,4.6571,0
5.199,4.7591,0
4.901,4.7952,0
5.0632,4.5072,0
4.6919,4.2436,0
4.1752,4.223,0
3.9774,4.4199,0
4.0846,4.334,0
4.5019,4.5114,0
4.4649,4.6553,0
4.3998,4.495,0
4.3426,4.3029,0
4.2642,4.1966,0
4.173,4.1852,0
4.1537,4.1765,0
4.1986,4.0159,0
4.089,4.0634,0
4.0925,4.0473,0
4.0907,3.849,1
4.0054,3.6088,1
3.8529,3.3289,1
3.8643,3.0086,1
3.8118,2.6248,1
3.8154,2.1538,1
3.6434,1.7925,1
3.6279,1.389,1
3.6429,1.3395,1
3.508,1.2051,1
3.278,1.1296,1
3.0715,1.0661,1
2.8122,0.99158,1
2.6905,1.0924,1
2.6362,1.1156,1
2.6224,1.3968,1
2.6835,1.7833,1
2.9745,2.3717,1
3.3678,2.8371,1
3.419,2.9061,1
3.5903,3.0831,1
3.5434,3.1173,1
3.5605,3.1678,1
3.5475,3.2095,0
3.4779,2.9341,0
3.3967,2.9606,0
3.2404,2.8597,0
3.1066,2.7222,0
2.9752,2.5826,0
2.8171,2.4505,0
2.6702,2.3251,0
2.4949,2.1802,0
2.3383,2.0667,0
2.1723,1.9453,0
2.0391,1.8357,0
1.9035,1.6607,0
1.7554,1.5821,0
1.5923,1.4475,0
1.4633,1.359,0
1.3301,1.1248,0
1.167,0.9534,0
1.0047,0.83093,0
0.86291,0.70649,0
0.74243,0.56301,0
